Sl no,Tweets,Search key,Feeling
7079," #36: @I(a)n ed ""@catfordpolemic @buffsoldier_96 Weirdly assertive statement. Do you think Leave could have been run better? If so I’d be interested to hear how. The implications for the 52/48 split being immovable are pretty bad for society.""",assertive,happy
4106," #40: @Tuna Mango stan account ed ""RT @HeerJeet: 1. It increasingly feels like Biden, if he's the Democratic nominee, will be Hilary Clinton 2.0, but worse. A campaign based…""",revulsion,disgust
1939," #50: @Barau Emmanuel ed ""RT @djrothkopf: @realDonaldTrump I hate to trouble you, Mr. President, sir, but just one tiny correction here: China doesn't pay ""tariffs""…""",trouble,sad
5563," #33: @Avis McKenna ed ""RT @Chromattt: am bored send me memeswhats better""",bore,sad
6300," #74: @Praveen ed ""RT @SadhguruJV: Devotion is about you. Maybe you use another as inspiration, but you change your quality into a profound sense of sweetness…""",devotion,happy
501," #34: @요한, 김. ed ""Joy nunim! https://t.co/iAC3KThQWC""",joy,happy
9017,"Tweet #18: @Writing for Real Estate Agents tweeted ""How (and When) to Use Humor In Your Blogging Content  Is your sense of #humor helping or hurting your #blog posts? Here's how to tell: https://t.co/iGdnkkZ9nH""",hurting,sad
9878,"Tweet #18: @Printot👑 tweeted ""Annoying mga tao karon heh""",annoying,angry
8233," #78: @Pablo ed ""RT @iamTizZaqyah: Bless the person who made this for making us smile. Or laugh.. like really laugh! https://t.co/r3nxVSjAdz""",bless,happy
4356," #20: @PINKSUGARBB38 ed ""Itchy skin, rashes, wheezing, stomach aches and pains, stomach gurgling noises, burping/gas, nausea, diarrhea/greasy stool, sugar cravings, thirst.. it is progressive. Symptoms can come and go in a short period of time. They do always return.""",nausea,disgust
9429,"Tweet #51: @Adel tweeted ""RT @DenaBahrin: My head hurts. My heart hurts. I am physically shaking, emotionally & mentally in pain. urgh Sesungguhnya aku puasa but als…""",pain,sad
4584," #18: @Linus ed ""I no longer ask questions like:""How do I look?""""Do you like me?""""Is this shirt too big?""""Do you think I'm okay?""I've finally gained the courage to be my own man living by my own opinions.Ion know about you but I see this as a huge step to self improvement.""",courage,happy
9890,"Tweet #30: @mryym tweeted ""RT @misha26c4u: yall imagine how annoying it would be it malaysia had a met gala""",annoying,angry
8917,"Tweet #50: @Mathieu GOULAOUIC tweeted ""RT @PlayersSayings: Mourinho at @beINSPORTS : ""It is Klopp's victory. It is not like other coaches in other leagues who mourn for absences,…""",mourn,sad
4700," #58: @jude ( •⌄• ू )✧ ed ""RT @sailorkooky: nothing but big respect to these wonderful men who brave enough to said fuck toxic masculinity #MetGala https://t.co/Dp0VQ…""",brave,happy
7990," #74: @Tony McManus (TMAC) ed ""Fantastic joyful yarn.From 5 tomorrow morning with @BasilZempilas and Steve @6PRbreakfast https://t.co/vjtq0ym1Pe""",joyful,happy
451," #64: @🐨 #Persona ed ""RT @tmttshoseok: This is how you cheer for joon, he went “idk what to say” and he was about to tear up please he deserves the world https:/…""",cheer,happy
8559,"Tweet #9: @Chii tweeted ""Regretting not picking up breakfast on the way to work.""",regretting,sad
4454," #29: @🇺🇸 🇦🇺 Loyal American 🇺🇸 🇦🇺 ed ""@ArthurSchwartz @catturd2 Good-natured and humorous sarcasm should not be outlawed! It is often very revealing!""",sarcasm,disgust
1694," #36: @Natrah Yusof ed ""RT @valenKino: “you’re single because your standards are too high”And you’re miserable because you settle.""",miserable,sad
5425," #42: @𝐈𝐫𝐞𝐧𝐞. / nsfr ( asleep ) ed ""You seemed to not care a second ago about what it takes to fulfill your release. Why all tensed up now ? https://t.co/PZChDBJ8h1""",tensed,fear
6081," #39: @あり ed ""@sora_syndrome そらたんどこ""",love,happy
1571," #7: @Dos ed ""@faaaaaaaaaajer Ah sial haha taknak lah nnt aku depress doh sumpah. Pembawakan aku x sama ngan korang.""",depress,sad
9069,"Tweet #3: @Allez Allez Allez 🇲🇦🏴󠁧󠁢󠁥󠁮󠁧󠁿 tweeted ""RT @DaveOCKOP: Suarez: “We are very sad, hurt, we are human beings, we feel the pain, the frustration, we have to do self-criticism, put ou…""",very hurt,sad
9252,"Tweet #34: @𝒸𝒶𝓉𝒽𝓎 | cathy 🍒🍼🎀 tweeted ""RT @puretaeIent: @sailorwook we're not obligated to care or speak about other artists solely based on the fact that they are korean too. st…""",guilt,sad
9129,"Tweet #63: @모모 랜드 사랑 tweeted ""RT @Notebooktxts: Sometimes happy memories hurt very much.""",very hurt,sad
3683," #42: @Ａｒｒｅｓｔｅｄ🇺🇸 Aplomb™ ed ""🇶The Fright of James Comey? – American Greatness @VDHanson https://t.co/mB4NAdEh8x⚖️Having carried water for #CalamityOrganizer and Shrillary, #Obama and #HRCare now powerless to rescue #JamesComey from the 𝐑𝐞𝐜𝐤𝐨𝐧𝐢𝐧𝐠. https://t.co/IVWFuB0XiM""",fright,fear
7264," #22: @DarkSyn ed ""RT @tkcrockett: @ReporterAshley @LunaLuvgood2020 Happy teacher appreciation week. I say that in jest but really,look...that teacher comfort…""",damn happy,happy
4050," #59: @Susan Balamaci ed ""@VP As a nurse, and a mother, your words sicken me. Why don't you stop lying about infanticide and repair the suffering you've caused innocent children ripped from their grieving parents' arns? If you honestly cared about the lives of infants and children, you wouldnt torture them.""",sicken,disgust
3233," #59: @Ayang Elly🇨🇲💋 ed ""@Mamsy96 @ziheugine @ElizaNgufor @nateke2019 @welisanedivine1 Sis they’re aggravated scum""",aggravated,angry
2779," #18: @DonnaLou ed ""@kadeyobe10 Maddie must have done something to displease them! Like try to record her own songs or something. She’s not performing on the finale either.""",displease,angry
705," #14: @Bangtan💜 ed ""RT @BTS_twt: 🤩🔥I’M HAPPY👍😆 https://t.co/RnFYWNNZAg""",happy,happy
1185," #15: @Shivani Sharma ed ""RT @DalaiLama: We need patience to protect our peace of mind, our compassionate mind. Patience is part of our defense, as is forgiveness. E…""",helpful,happy
3034," #82: @JACKtheolePIRATE ed ""RT @phildo1965: @SoloAmerican @JackArnett11 I agree. And I am willing to have a discussion with someone I don't agree with, even if it gets…""",heated,angry
3009," #57: @Dylan Holland ed ""RT @nottacotico: let’s settle this here and not at the family function... might get heated Rt bagsFav cornhole https://t.co/YBqGmq9Lsu""",heated,angry
5823," #17: @Ginger ed ""@mainlybravo Because she’s a jealous hag. Have you seen Katie?? 🤭""",jealous,angry
4001," #10: @bearandbull ed ""RT @NickWiltonNS: Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abu…""",sicken,disgust
8276," #5: @Edwards Motorhomes ed ""RT @RollerTeam_: #Travelling with #friends and #family multiplies the enjoyment of any trip. Our Auto-Roller range is a family favourite th…""",enjoyment,happy
3312," #43: @jim pruitt ed ""RT @RudyGiuliani: Congresswoman Tlaib referred to the Palestinians as “our people.”If it was a mistake,then say so quickly. If not what is…""",fear,fear
1733," #5: @csdickey ed ""RT @jakeadelstein: 𝑱𝒂𝒑𝒂𝒏'𝒔 𝐂𝐫𝐨𝐰𝐧 𝐏𝐫𝐢𝐧𝐜𝐞 𝐨𝐟 𝐏𝐞𝐚𝐜𝐞 & 𝐓𝐡𝐞 𝐂𝐥𝐨𝐰𝐧 𝐏𝐫𝐢𝐧𝐜𝐞 𝐨𝐟 𝐂𝐚𝐭𝐚𝐜𝐥𝐲𝐬𝐦What happens when the grandson of a mournful Emperor butts…""",mournful,sad
36," #36: @Laura ed ""@BTS_twt @coarselife I'm glad you're spending your time with happy moments and the things you like 😊💜 https://t.co/pdJ43sihsV""",happy moments,happy
577," #39: @EstateMint ed ""Good Health, loads of fortune, prosperity, and joy in abundance#EstateMint wishes you all these things on this auspicious occasion of #AkshayaTritiya2019 https://t.co/0t89F8f2gn""",prosperity,happy
1515," #37: @Dimpol~ng~Pandaᴬᴰᴺ ed ""RT @xanria_018: #ALDUBxADNDoGoodAlwaysNever regret. If it’s good, it’s wonderful. If it’s bad, it’s experience.""",regret,sad
4370," #34: @Politica Ficcion ed ""RT @Miriam_Junne: Si algo tengo que reclamarle a AMLO es que les haya hecho creer a esta bola de clasemedieros aspiracionistas que son fifí…""",nausea,disgust
40," #40: @Narcos ✨ ed ""Happy birthday boy tequila na laging wasak sa inuman! 🍻 Enjoy your day my amigo more lasing moments hahaha sa fb natong video nimo nga  mintras nag kamang ga suka hehe 😘 @mr_swaveh https://t.co/gZ5pCvrBXq""",happy moments,happy
5122," #65: @jill van acker ed ""@LizSturgiss Old study. The intervention (counselling & nicotine replacement) started 4 weeks before. We should encourage all patients to stop, no matter how long before. We sent a brochure & quitline pack out with waitlist letter a few years ago, but wording (facts) considered too harsh""",harsh,angry
8580,"Tweet #30: @CLINT. tweeted ""RT @naiblogger: That's it. The best. We don't want  5 years regretting about their decision #LawyersCommit https://t.co/VHieKeFcCp""",regretting,sad
7388," #39: @Rasta ed ""@GhostlightTV wish I would have saw this before hand. great idea for next time.""",great,happy
8904,"Tweet #37: @Nitah tweeted ""@AsantejnrRuhima Y'all need to man up. I can see you as well can't stand intimidation. So the world needs to mourn with you for being blocked!?""",mourn,sad
3687," #46: @Alexander's Realm ★彡 ed ""RT @alexander_0729: Question: Given that Xander has height fright and couldn’t stand free fall, calculate the chance for Xander to accept t…""",fright,fear
9259,"Tweet #41: @venti latte snow white tweeted ""@emktintin @tamar_m_h_s_ @bariweiss @elivalley @IfNotNowOrg @jvplive They've never been through any type of real anti-semitism and compensate for their ""white colonizer guilt"" stereotype by blaming Israel for all their problems. At least that's the experience I've had on Twitter and Reddit with followers of @IfNotNowOrg and @jvplive.""",guilt,sad
9111,"Tweet #45: @Eaglet'' tweeted ""RT @AnfieldHQ: Suarez: “We are very sad, hurt, we are human beings, we feel the pain, the frustration, we have to do self-criticism, put ou…""",very hurt,sad
6395," #75: @Meet insan ed ""RT @MSGians7: With the pious blessings of Saint Dr @GurmeetRamRahim Singh Ji @DeraSachaSauda is known as ""True Blood Pump"" where millions o…""",pious,happy
6021," #74: @Julien17 ed ""RT @Portes_Thomas: Et silence assourdissant pour le peuple palestinien massacré par #Israël. Un état qui viole le droit international, occu…""",indignation,angry
488," #21: @kathrina ed ""RT @titavilma: Bilang isang fan, susuportahan natin ang KathNiel mapa career at personal man, excited na akong makilala si Joy at ating aba…""",joy,happy
1443," #46: @IIK ed ""Peace: A Calm and cool person Has a face like a treasure And pleasant as morning light Is always filled with pleasure Don’t fret, don’t cry Don’t let life go dry Anger will bring nothing but sorrow But peace my little girl or boy Will surely bring you… https://t.co/PeGevz9TPc https://t.co/ZGvr9BZBMK""",sorrow,sad
9706,"Tweet #28: @Attiya Zaidi tweeted ""RT @GabbyGiffords: How many more kids will have to run from a shooter? How many more will have to message their family from a hiding plac…""",tragedy,sad
9564,"Tweet #37: @Uthman tweeted ""@HenRay_DS My chest is paining me""",paining,sad
8305," #34: @MadCap Productions ed ""I will say from my 2nd viewing of Avengers: Endgame, I felt the drag of the running time and felt less enthusiastic as opposed to my initial viewing. That being said, it didn't take away the enjoyment I have to the film. IW is better, rests at 8.5/10, but this film is a solid 8.""",enjoyment,happy
4566," #70: @Joe ed ""@roseOyuma @aryservant May he rest in peace""",peace,happy
7856," #25: @チアフルキャンディ ed ""この衣装ひらひらしててちょっと恥ずかしいなぁ""",cheerful,happy
6062," #20: @August ed ""@reginevalcasid Please do take care Dear Regine. Have a safe flight. Congratulations in advance. I love you very much. ❤""",love,happy
3953," #39: @Brittney Tatt ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
7872," #41: @Catmalojinboy ed ""RT @caitlinmoran: Today's the last day you can register to vote for the EU elections - European citizens too. I'm going to be the cheerful,…""",cheerful,happy
8632,"Tweet #82: @em tweeted ""I was just heading home to go tf to sleep & then I see the trash collectors rolling up & I hear birds fucking chirping?? I am regretting everything""",regretting,sad
7804," #73: @眞琥 ed ""RT @phujiwowmajuji: had to repost because im dumbass to forget small details #BrawlStars and my dumbass brain wanting waifus husbandos and…""",daze,surprise
4042," #51: @Tim but Better ed ""Y’all sicken me.""",sicken,disgust
8423," #5: @Benjamin Rupracht ed ""RT @markiplier: Chica was a BAD and chased a squirrel into the street... So I punished her by removing her ability to walk. She loves walki…""",sadness,sad
8117," #36: @KEMPTON - Wedding & Events Magician ♣ ed ""RT @TheBlossomTwins: 'The Ingredients for Happiness' is also available for pre-order in the USA! 🇺🇸🙂https://t.co/jUSV1xY5sS@HQDigitalUK…""",happiness,happy
8488," #7: @Antoine Kagabo ed ""RT @GAERGRwanda: MASSAMBA Intore: There is no tragedy like an extermination. It is sorrowful to be born and raised in a family, to marry an…""",sorrowful,sad
6929," #43: @Harith ed ""RT @coodiepi: Allah tested:Nuh with a flood,Ibrahim with a fire,Ya’qub with blindness, Yusuf with separation, Ayyub with illness, Mus…""",patience,happy
9038,"Tweet #39: @Lorraine Davina tweeted ""Im already sick of myself for being single for 20 years, for being fat for 20 years, for being sad all the time, for crying, for hurting myself. Im sick i had not much meaningful life. Im sick of being too fuking shy to even start a convo with anyone.""",hurting,sad
8207," #52: @BOH_AMA ed ""So before I left for Accra, I had a call up to give these ""youngings"" a nice look for school. And I rendered a good service. Not all the kids are captured in here but Please, share it. My client may be on your Timeline. Thank you. .God bless you.""",bless,happy
9789,"Tweet #28: @Chris Wade-Evans #FBPE tweeted ""RT @campbellclaret: So the @BBCNews as per the pre polling script went to Sunderland to find angry Brexiteers dumping Labour .... thereby t…""",very angry,angry
1662," #4: @Luis Gonzalo Segura ed ""Ángel Saavedra, jefe de Protocolo del Cuartel General de la OTAN (Bétera), denunciado por decirle a una mujer “Te puedo dejar el coño del revés, pedazo de zorra..."", acusa a su mujer del texto. Le falla el compañerismo o le tiemblan las piernas. Miserable o cobarde. O ambas""",miserable,sad
6296," #70: @Chowkidar Raj ed ""RT @SadhguruJV: Devotion is about you. Maybe you use another as inspiration, but you change your quality into a profound sense of sweetness…""",devotion,happy
1743," #15: @Gaetano Mastromatteo ed ""RT @jazzdotorg: Charles Mingus' masterpiece Mingus Ah Um turns sixty today!The album, which Mingus began recording on this day in 1959, r…""",mournful,sad
5013," #37: @Alandra Rayner ed ""A bold idea to replace politicians | César Hidalgo https://t.co/LVsD9V663b via @YouTube""",bold,happy
800," #38: @María Paz Mujica ed ""RT @SignoGeminisRD: #GÉMINIS♊ es una de esas personas que nunca cae mal de primeras. Es sociable, espontánea, simpática y muy jovial.""",jovial,happy
3062," #28: @Diane Lash Decker ed ""RT @johnpavlovitz: @VP “It is offensive to me that frauds like the Pences loudly parade their “pro-life” virtue to the world, while showing…""",hateful,angry
9945,"Tweet #14: @alyssa tweeted ""My day is already super irritating. Can’t wait to eee what other inconveniences I have to deal with""",irritating,angry
6479," #23: @low miles mazda miata ed ""Partaking in worthless garbage fills you with determination""",determination,happy
3840," #13: @Copernicus ed ""I don’t get anxiety you zamboni ass niggas""",anxiety,fear
3386," #34: @sans ed ""@Farm_Immortal 어제 별을 봐 두길 참 잘 했지.""",horror,fear
1410," #12: @Raubmaus&Pfotenprinz ed ""RT @MicroSFF: There is a bird in the forest, small and drab. She has no voice to sing with, so watches in silence.Those in pain seek her o…""",sorrow,sad
1545," #67: @HDFC Bank ed ""@Shantan33660976 Hi Shantanu, due to some server connectivity issue with the UIDAI website, we are unable to process request at an aadhar enrollment center. Regret for the inconvenience caused. -Nadia""",regret,sad
6910," #24: @hobi took my fuckinf lungs ed ""RT @todorokth: manager sejin is either having the time of his life or giving the ultimate test of patience right now""",patience,happy
2466," #18: @eilish ed ""You're cute tho, too bad ur not mine. 😌""",bad,sad
625," #8: @Linda Cheever ed ""To clarify @TomSandoval1, when I said observe faces when the arrows cut, I'm referring to the expression of glee when the bully sees pain cross the face of the victim. 😢""",glee,happy
108," #36: @Gwen❗️ ed ""Also Humanz is amazing y’all are just mean""",amazing,happy
9360,"Tweet #72: @Sweet Mario & Hella Luigi Bot (NSFW Text) tweeted ""Tails ate Pac-Man's lunch and they're very upset about it""",very upset,sad
3793," #59: @Secret Vent 💕 ed ""@WarrenWattles I dread to imagine 🙈""",dread,fear
4612," #46: @THAT bitch ed ""RT @Shoocharu: ""Creativity takes courage""- Henri Matisse.#10MinutePowerHour https://t.co/h5kASTdM0g""",courage,happy
2293," #57: @Lilo ed ""RT @ukrreaalii: В'ятрович проти інавгурації Зеленського 19 травня: він не має права на глумЗгідно з указом екс-голови України Ющенка від…"" #58: @StacyMagic24🇬🇧 ed ""Update my jungle This waiting to re plant Using my empty plastic milk bottlesHay weather is not helping😫😩🥺It’s so glum dayBut looking my colourful little jungle make my day🥰my veggie plant in the pot #MaineLovesDeonat #MaineMendoza @mainedcm https://t.co/NC7qiMUj4Q""",glum,sad
5835," #29: @Angels✨👼🏻 ed ""RT @JadeHassoune: Ok.... I’m jealous. But i don’t know of who. 😒 @LukeBaines @KSueMurray   #shadowhunterschat #shadowhunters #shadowhunters…""",jealous,angry
1767," #39: @Stäubchen vom Staube ed ""RT @jazzdotorg: Charles Mingus' masterpiece Mingus Ah Um turns sixty today!The album, which Mingus began recording on this day in 1959, r…""",mournful,sad
1925," #36: @shadía ed ""RT @nnecole_: if I reaaaally ed what’s on my mind I’ll be in big trouble""",trouble,sad
6936," #50: @Ryandi Dwi Putra ed ""RT @coodiepi: Allah tested:Nuh with a flood,Ibrahim with a fire,Ya’qub with blindness, with separation, Ayyub with illness, Mus…""",patience,happy
1864," #54: @Glen Hodgson ed ""RT @ian_a_noecpc: Saw Adam Kay reading from his book ""This Is Going To Hurt"" at the #GS1uk conference. Just got round to reading it - every…""",hurt,sad
519," #52: @joy🌸 ed ""@thismfs Hello saya red velvet joy, 96l berjanji akan mematuhi semua rules. https://t.co/hzJiXtylOE""",joy,happy
8948,"Tweet #81: @喪服を着たはりぃ tweeted ""休憩だよ！！！やったね！！！""",mourn,sad
9849,"Tweet #88: @Autie - Artificial Autism Intelligence tweeted ""RT @chromesthesia: Poisoning, but when autistic people say accept your child, work with your child's autism, respect her privacy, have hope…""",very angry,angry
9717,"Tweet #39: @vinay karanam tweeted ""RT @vivekagnihotri: if only these people could sign a letter for Sam Pitroda. (Pic 1: Bhopal Gas tragedy 2. Pic 2: Sikh Massacre 1984)* h…""",tragedy,sad
8399," #61: @Koech'_Benard ed ""RT @RaphaelObonyo: I'm honoured to have made the #ShiftThePower  list of change makers and to be featured in the Vise Versa,  a premier mag…""",help,happy
1455," #58: @Jakub Krawczyński ed ""Tego dnia 16 lat temu ukazała się Castlevania: Aria of Sorrow na Game Boy Advance! Mieliście okazję grać w tę odsłonę albo mieć GBA? 🤔 #GRAcznicahttps://t.co/MADCcVSnDx""",sorrow,sad
3259," #85: @TourGuideTed©🏳️‍🌈 ed ""RT @KatiePennick: HI @TfL it’s me again, your most aggravated passenger. Just waited 10 mins for a bus + flagged it down. It stopped, opene…""",aggravated,angry
6183," #46: @𝐓rёflё  香酸萊姆味🌍🌕🌞 ed ""Harmony of Despairは良いぞ""",despair,sad
5016," #40: @˗ˏˋ sab🌹 ˎˊ˗ ‏ ed ""RT @cevansdoritos: very bold of u to use this picture https://t.co/bvOYoEo5h9""",bold,happy
583," #45: @Edward_Elric ed ""@bahutbadadanda No can do brotha...!! It is the responsibility of the Gormint of the sekoolar rebublic to hinder the growth and prosperity of Honduz https://t.co/dsiTvxOPMb""",prosperity,happy
6831," #12: @shindy ed ""RT @stnrl: sis, control your ego. you're so fucking annoying. https://t.co/mtHbJNyHrC""",ego,fear
3208," #34: @A.J.Griffiths-Jones ed ""RT @Didi_Oviatt: ""A page-turning, enticing thriller keeps the reader guessing."" Aggravated Momentum: Intense #Psychological #thriller #crea…""",aggravated,angry
5613," #21: @Steven ed ""🤮 bore off https://t.co/x1YynRNR5k""",bore,sad
7716," #72: @Kalevi ed ""RT @chunkymark: 3-0 down!!!!  Liverpool stun Barcelona stun the World by beating Messi and the Spanish champions FOUR NIL!!!! 😱 Believe!!!…""",stun,surprise
1226," #56: @Eldawita Anggrika ed ""RT @DalaiLama: We need patience to protect our peace of mind, our compassionate mind. Patience is part of our defense, as is forgiveness. E…""",helpful,happy
6754," #2: @tucker ed ""RT @MrTeaminvision: (3) Screw your pride man, just tell people you miss them. Tell them how you really feel. Tell them you love them, stop…""",pride,happy
7411," #62: @i am happysad ed ""RT @KEEMSTAR: This kid called me for over a hour on his birthday to give me youtube tips. What a great kid. RT his  below & give yours…""",great,happy
3240," #66: @BajanHitch ed ""@tommyteaboy @Rebartic @pbutler66 A choirboy he isn’t but he’s never been arrested or prosecuted for any racially aggravated offence so just blindly accusing someone of racism is unfair and untrue, and I mean anyone. It demeans the person and true victims of racism""",aggravated,angry
6231," #5: @Bhuvaneswari ed ""RT @SadhguruJV: Devotion is about you. Maybe you use another as inspiration, but you change your quality into a profound sense of sweetness…""",devotion,happy
4532," #36: @Mhicka Dela Cruz♥♥♥ ed ""May you rest in peace ante nomet 😢😢  no more pain . Mag kasama na kayo ni ate Lanie Diosana 💔""",peace,happy
5235," #12: @Alexis Soterakis ed ""This is why @churchclarity is so important! So happy to be part of a faith community that accepts everyone. https://t.co/96CwI5Jma2""",faith,happy
7149," #49: @Sam 💙 ed ""RT @Criterion: ""My name is Orson Welles. I am an actor. I am a writer. I am a producer. I am a director. I am a magician. I appear onstage…""",very happy,happy
6256," #30: @PictureMessage ed ""Profile pictures that carry a Godly Message..#Christian #God #Jesus #JesusChrist #Faith #Love #Amen #Prayer #Church #Gospel #Worship #Hope #profilepictures #profilepics #profile #inspiration #devotion #Blessed #Grateful #Need #Provider #Pics #positivemessage #picturemessage https://t.co/Qxm0seES08""",devotion,happy
4020," #29: @Kurikat_Kate #CybernatKate.🏴󠁧󠁢󠁳󠁣󠁴󠁿 ed ""@missallot @MrMalky Beat them at their own game..Be proud to be a cybernat..Take it on & sicken them..https://t.co/8CMCpnNWM2""",sicken,disgust
9123,"Tweet #57: @💗💗💗Nun Ya💗💗💗 tweeted ""@babyluv1222 @Lisa_Somebody @JanStringer4 @AndrewGillum I also have a weird genetic condition that affects my connective tissue. That means that I can shoot some guns, but others r very hard 4 me. An armalite-15 (AR-15) is something I can use—my fingers, shoulder & back will hurt a bit from practice, whereas a shotgun—is be in the ER!""",very hurt,sad
6113," #5: @Bethan Cansfield ed ""HT @gopikabashi . This is an immense injustice - similar to the #Kavanaugh case in the #US. Hope the world gets behind the brave woman who spoke out #MeToo #Metooindia #TuesdayThoughts  https://t.co/t6aq1A6Ime""",dejection,sad
5215," #73: @Sagar Patil ed ""RT @swwapniljoshi: A bold and a much needed move ma'am! Wil help all forms of cinema! U r truly showing the way! 🙏🙏@anupamachopra https://…""",calm,happy
4690," #48: @荒瀬 綴 ed ""@Brave_So まさか、私の推しを""お肉""呼びとはうわぁーん(´；ω；｀)あのボディーが良いのに…｡ﾟヾ(ﾟ`ω´ﾟﾉｼﾟ｡)ﾉｼ""",brave,happy
97," #25: @cc22 ed ""RT @ARMYMAGofficial: [#BoyWithCamp]🍀It is amazing to see the #MetGala celebrities wearing styles @BTS_twt has previously worn throughout…""",amazing,happy
5931," #50: @HerrDaly ed ""Hilarious social commentary. Pity US #Americans are too sensitive 🇮🇪 @WhoopiGoldberg  S01E02 - Don't Hide Your Bag (1/3) https://t.co/fcrMA74EAm via @TheView""",pity,sad
2362," #53: @mohsin shaikh ed ""I #condemn such #Coward Act Done by Some #Goons ... Possibly they Are unhappy with The #Success of My Boss @ABHIJEETRANE @CMOMaharashtra @Dev_Fadnavis @MumbaiPolice @CPMumbaiPolice @timesofindia @mumbaitak @sahiljoshii @surajojhaa @mustafashk @ZeeNewsHindi @mid_day @NBTMumbai https://t.co/SsUoivVVL5""",unhappy,sad
5308," #84: @Beemah Honey❤💜 ed ""Allahi Jalla Jalla luhuAlihamdulillahi khesiran khesiraThe Almighty Allah has done it again for me,he just made a way where i thought the road is blocked 💃💃💃The God that answered one of my silent prayers today,will answer yours too In Sha Allah, Just keep praying with faith""",faith,happy
120," #48: @Kayayayayyysune 🦇 ed ""@SheepEva11 AWA THANK YOUUU 💖💖💖 she did such an amazing job, I can’t stop staring at it 😍""",amazing,happy
3498," #2: @Peter Wilson ed ""If the sun does come out today as forecasted, will there be panic in the streets? #Boston2019sunriots""",panic,fear
4729," #17: @석향 ed ""RT @BTS_twt: A heaven in LA..😱😱 @coarselife https://t.co/7ZJRWsRzAw""",hope,happy
